"number","date_time","acc_x","acc_y","acc_z","datetime","v_x","v_y","v_z","v_total","v_x_smooth","v_y_smooth","v_z_smooth","v_total_smooth"
111,"11/22/24 09:30:00 PM",-10.3005,-1.71675,0.73575,2024-11-22 21:30:00,-957173.9625,-199866.4875,145678.5,988610.556627729,-956923.138636363,-199866.4875,145507.939772727,988346.336136135
112,"11/22/24 09:45:00 PM",-10.3005,-1.962,0.4905,2024-11-22 21:45:00,-966444.4125,-201521.925,146230.3125,998002.601701029,-966133.390909091,-201582.122727273,146099.884090909,997698.338199723
113,"11/22/24 10:00:00 PM",-10.05525,-1.962,0.24525,2024-11-22 22:00:00,-975604.5,-203287.725,146561.4,1007278.65237276,-975353.676136363,-203317.823863636,146701.861363636,1007065.87389934
114,"11/22/24 10:15:00 PM",-9.81,-1.962,0.4905,2024-11-22 22:15:00,-984543.8625,-205053.525,146892.4875,1016341.95435655,-984553.895454545,-205123.755681818,147323.904545455,1016431.4057643
115,"11/22/24 10:30:00 PM",-10.05525,-1.962,0.981,2024-11-22 22:30:00,-993483.225,-206819.325,147554.6625,1025453.81659797,-993754.114772727,-206939.720454545,147945.947727273,1025799.58464508
116,"11/22/24 10:45:00 PM",-10.05525,-1.71675,0.4905,2024-11-22 22:45:00,-1002532.95,-208474.7625,148216.8375,1034650.79778331,-1002864.0375,-208745.652272727,148668.320454545,1035093.04580616
117,"11/22/24 11:00:00 PM",-10.791,-1.71675,0.73575,2024-11-22 23:00:00,-1011913.7625,-210019.8375,148768.65,1044131.17284336,-1011873.63068182,-210561.617045455,149480.989772727,1044304.57919588
118,"11/22/24 11:15:00 PM",-10.54575,-3.18825,1.71675,2024-11-22 23:15:00,-1021515.3,-212227.0875,149872.275,1054037.73348799,-1020893.25681818,-212367.548863636,150273.593181818,1053521.4070766
119,"11/22/24 11:30:00 PM",-9.56475,-1.962,0.73575,2024-11-22 23:30:00,-1030565.025,-214544.7,150975.9,1063431.90728516,-1029902.85,-214143.381818182,151076.229545455,1062724.37937158
120,"11/22/24 11:45:00 PM",-10.791,-1.962,0.4905,2024-11-22 23:45:00,-1039725.1125,-216310.5,151527.7125,1072743.76699605,-1038912.44318182,-215929.247727273,151878.865909091,1071929.84457258
121,"11/23/24 12:00:00 AM",-7.60275,-1.962,2.943,2024-11-23,-1048002.3,-218076.3,153072.7875,1081340.54381587,-1047922.03636364,-217765.278409091,152671.469318182,1081144.31962197
122,"11/23/24 12:15:00 AM",-10.791,-1.962,0.4905,2024-11-23 00:15:00,-1056279.4875,-219842.1,154617.8625,1089937.42391467,-1056951.69545455,-219641.440909091,153413.907954545,1090379.73242458
123,"11/23/24 12:30:00 AM",-10.05525,-1.4715,0.24525,2024-11-23 00:30:00,-1065660.3,-221387.175,154948.95,1099387.70838893,-1066001.42045455,-221587.834090909,154056.017045455,1099635.47593321
124,"11/23/24 12:45:00 AM",-10.05525,-1.71675,0.73575,2024-11-23 00:45:00,-1074710.025,-222821.8875,155390.4,1108511.34761748,-1075041.1125,-223564.326136364,154547.631818182,1108867.42507498
125,"11/23/24 01:00:00 AM",-9.81,-2.4525,0,2024-11-23 01:00:00,-1083649.3875,-224698.05,155721.4875,1117602.07156758,-1084080.80454545,-225530.785227273,154938.917045455,1118084.09294783
126,"11/23/24 01:15:00 AM",-10.05525,-2.69775,1.22625,2024-11-23 01:15:00,-1092588.75,-227015.6625,156273.3,1126813.04214132,-1093090.39772727,-227517.310227273,155330.202272727,1127276.19726237
127,"11/23/24 01:30:00 AM",-10.54575,-1.962,-0.981,2024-11-23 01:30:00,-1101859.2,-229112.55,156383.6625,1136240.33861198,-1102110.02386364,-229493.802272727,155540.894318182,1136451.83030078
128,"11/23/24 01:45:00 AM",-10.791,-3.18825,-0.24525,2024-11-23 01:45:00,-1111460.7375,-231430.1625,155831.85,1145944.35143826,-1111139.68295455,-231470.294318182,155581.026136364,1145614.51200873
129,"11/23/24 02:00:00 AM",-10.3005,-2.4525,-0.981,2024-11-23 02:00:00,-1120951.9125,-233968.5,155280.0375,1155589.17404745,-1120119.17727273,-233496.951136364,155591.059090909,1154735.76988613
130,"11/23/24 02:15:00 AM",-9.81,-2.4525,0.981,2024-11-23 02:15:00,-1130001.6375,-236175.75,155280.0375,1164815.25388653,-1129098.67159091,-235644.003409091,155500.7625,1163869.43518424
131,"11/23/24 02:30:00 AM",-9.81,-1.962,0.24525,2024-11-23 02:30:00,-1138830.6375,-238162.275,155831.85,1173856.91445604,-1138108.26477273,-237891.385227273,155249.938636364,1173033.55805493
